time,fed,ecb,boj,pboc,boe,snb,boc,m2_us,m2_cn,m2_eu,m2_jp,m2_gb,m2_ca,m2_ch,m2_tw,m2_br,us_debt
2014-01-01T00:00:00Z,3663.49,3151.79,2136.40,5240.79,643.76,550.90,85.83,11153.40,18277.52,12752.00,8221.69,2337.98,1192.25,980.80,1186.91,840.54,17351.97
2014-01-02T00:00:00Z,3799.01,3121.40,2129.04,5243.57,641.79,544.21,85.89,11153.40,18287.21,12629.02,8193.35,2330.81,1193.03,968.90,1184.13,827.94,17315.97
2014-01-03T00:00:00Z,3852.65,3106.59,2145.59,5238.98,638.92,543.17,86.04,11153.40,18271.22,12606.83,8257.03,2320.41,1195.22,967.04,1182.55,836.19,17308.85
2014-01-04T00:00:00Z,3852.65,3106.59,2145.59,5238.98,638.92,543.17,86.04,11153.40,18271.22,12606.83,8257.03,2320.41,1195.22,967.04,1182.55,836.19,17308.85
2014-01-05T00:00:00Z,3852.65,3106.59,2145.59,5238.98,638.92,543.17,86.04,11153.40,18271.22,12606.83,8257.03,2320.41,1195.22,967.04,1182.55,836.19,17308.85
2014-01-06T00:00:00Z,3827.26,3099.30,2143.26,5242.05,637.54,541.45,85.67,11204.10,18281.92,12577.24,8248.08,2315.38,1190.11,963.99,1178.61,833.53,17310.22
2014-01-07T00:00:00Z,3842.29,3108.18,2147.14,5242.63,638.71,540.90,85.40,11204.10,18283.92,12613.30,8263.01,2319.65,1186.24,963.00,1175.87,840.04,17315.23
2014-01-08T00:00:00Z,3873.88,3097.47,2141.25,5243.94,639.17,538.34,82.48,11204.10,18288.49,12569.84,8240.33,2321.29,1173.54,958.44,1176.26,837.02,17306.98
2014-01-09T00:00:00Z,3901.33,3101.58,2135.23,5241.00,641.52,539.71,82.10,11204.10,18278.26,12586.49,8217.18,2329.85,1168.10,960.87,1178.61,827.98,17281.16
2014-01-10T00:00:00Z,3902.55,3017.00,2135.04,5242.45,638.61,539.85,81.97,11204.10,18283.30,12563.37,8216.46,2319.25,1166.19,961.13,1180.58,829.77,17280.84
